[26752:5440:0308/174245.160:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[26752:5440:0308/174245.523:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[27316:20400:0308/174255.062:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-CACF0AC5EEE1BB08FFE9333288A1EF75 will be ignored
[26752:5440:0308/174512.182:ERROR:device_event_log_impl.cc(196)] [17:45:12.165] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
[26752:25992:0308/183542.429:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053AC044DAD40}, {new_limit=75})
[26752:25992:0308/183544.430:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053AC044DAD40}, {new_limit=76})
[26752:25992:0308/183545.431:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053AC044DAD40}, {new_limit=77})
[26752:25992:0308/183546.431:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053AC044DAD40}, {new_limit=79})
[26752:25992:0308/183548.504:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053AC044DAD40}, {new_limit=78})
[26752:25992:0308/183549.420:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053AC044DAD40}, {new_limit=77})
[26752:25992:0308/183550.428:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053AC044DAD40}, {new_limit=75})
[26752:25992:0308/183551.438:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053AC044DAD40}, {new_limit=73})
[26752:25992:0308/183552.432:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053AC044DAD40}, {new_limit=72})
[26752:25992:0308/183554.426:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053AC044DAD40}, {new_limit=70})
[26752:25992:0308/183555.428:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053AC044DAD40}, {new_limit=69})
[26752:25992:0308/183556.427:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053AC044DAD40}, {new_limit=68})
[26752:25992:0308/183558.429:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053AC044DAD40}, {new_limit=69})
[26752:25992:0308/183559.428:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053AC044DAD40}, {new_limit=70})
[26752:25992:0308/183600.428:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053AC044DAD40}, {new_limit=71})
[26752:25992:0308/183603.431:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053AC044DAD40}, {new_limit=70})
[26752:25992:0308/183606.448:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053AC044DAD40}, {new_limit=68})
[26752:25992:0308/183613.441:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053AC044DAD40}, {new_limit=70})
[26752:25992:0308/183616.451:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053AC044DAD40}, {new_limit=73})
[26752:25992:0308/183622.452:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053AC044DAD40}, {new_limit=74})
[26752:25992:0308/183625.449:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053AC044DAD40}, {new_limit=73})
[26752:25992:0308/183626.461:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053AC044DAD40}, {new_limit=72})
[26752:25992:0308/183627.463:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053AC044DAD40}, {new_limit=71})
[26752:25992:0308/183628.479:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053AC044DAD40}, {new_limit=73})
[26752:25992:0308/183631.466:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053AC044DAD40}, {new_limit=100})
[8352:15052:0308/183639.968:VERBOSE1:network_delegate.cc(36)] NetworkDelegate::NotifyBeforeURLRequest: https://optimizationguide-pa.googleapis.com/v1:GetModels?key=dummytoken
[8352:15052:0308/183639.970:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[8352:15052:0308/183639.971:VERBOSE1:tls_handshaker.cc(126)] TlsClient: SSL_do_handshake returned when entering early data. After retry, rv=-1, SSL_in_early_data=1
[8352:15052:0308/183639.993:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[8352:15052:0308/183639.995:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[8352:15052:0308/183639.995:VERBOSE1:tls_client_handshaker.cc(625)] 0-RTT handshake attempted but was rejected by the server
[8352:15052:0308/183639.995:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[8352:15052:0308/183639.995:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[8352:15052:0308/183639.995:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[8352:15052:0308/183639.995:VERBOSE1:tls_handshaker.cc(105)] TlsClient: Continuing handshake
[8352:15052:0308/183639.995:VERBOSE1:tls_client_handshaker.cc(528)] Client: handshake finished
[26752:25992:0308/183641.466:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053AC044DAD40}, {new_limit=73})
[26752:25992:0308/183642.464:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000053AC044DAD40}, {new_limit=74})
